Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
189.01509,C00275,M-C3H4O2+H[1+],0.7561,0.000786466770023253,EC00015
261.03472,C00275,M+H[1+],1.0578,0.00225646677000668,EC00016
261.03557,C00275,M+H[1+],1.1737,0.00140646676999268,EC00016
261.03589,C00275,M+H[1+],0.7529,0.00108646677000479,EC00015
279.04661,C00275,M+H2O+H[1+],0.7428,0.000966466770023544,EC00015
117.05366,C00279,M-HCOOK+H[1+],0.7674,0.000916466770007673,EC00048
201.01492,C00279,M+H[1+],0.7324,0.00095646677002037,EC00048
219.02552,C00279,M+H2O+H[1+],0.7397,0.00095646677002037,EC00048
245.07873,C00299,M+H[1+],6.756,0.00195353322999381,EC00049
130.04908,C00302,M-H2O+H[1+],0.9782,0.000796466769998005,EC0002
148.05956,C00302,M+H[1+],0.8487,0.000916466770007673,EC0002
150.05743,C00302,M(Cl37)+H[1+],0.9057,0.000246466769993958,EC0002
150.05743,C00302,M(S34)+H[1+],0.9057,0.00115353322999567,EC0002
282.2768,C00319,M-H2O+H[1+],8.9599,0.00227646677001303,EC00050
282.2778,C00319,M-H2O+H[1+],8.4567,0.00127646676997983,EC00051
282.27834,C00319,M-H2O+H[1+],9.4197,0.000736466769978961,EC00052
283.26216,C00319,M-NH3+H[1+],8.8062,0.00101646677001099,EC00050
283.26389,C00319,M-NH3+H[1+],9.189,0.00071353322999812,EC00053
300.28784,C00319,M+H[1+],7.6193,0.00183646676998706,EC00054
300.2883,C00319,M+H[1+],8.455,0.00137646677001158,EC00051
300.28845,C00319,M+H[1+],9.186,0.00122646676999238,EC00053
318.29896,C00319,M+H2O+H[1+],7.6169,0.00131646676999253,EC00054
176.10137,C00327,M+H[1+],0.7723,0.00160646676999932,EC00055
214.05804,C00327,M+K[1+],0.7667,0.000436466769997423,EC00055
231.07598,C00328,M+Na[1+],1.0444,0.00190353322997794,EC00056
247.04895,C00328,M+K[1+],1.0522,0.00137353322998024,EC00056
268.10283,C00330,M+H[1+],1.0277,0.00124646676999873,EC00036
268.10286,C00330,M+H[1+],1.1266,0.00121646676996079,EC00036
306.05837,C00330,M+K[1+],1.1074,0.00120646676992919,EC00036
337.05666,C00341,M+Na[1+],3.5395,0.00101646676995415,EC00057
142.02552,C00346,M+H[1+],0.7132,0.00085646677001705,EC00058
179.98131,C00346,M+K[1+],0.7078,0.000566466770010265,EC00058
260.05213,C00352,M+H[1+],0.76,0.000846466770042298,EC00059
304.07806,C00362,M-CO2+H[1+],0.7465,0.00251646677003237,EC0001
330.05771,C00362,M-H2O+H[1+],0.9279,0.00206646677003164,EC0001
266.12221,C00378,M+H[1+],0.7697,0.00263353322998228,EC00060
304.07806,C00378,M+K[1+],0.7465,0.00298353322995126,EC00060
135.03132,C00385,M-H2O+H[1+],0.6099,0.00124353322999582,EC00061
153.03969,C00385,M+H[1+],0.9957,0.000986466770001471,EC00062
147.06427,C00392,M-H4O2+H[1+],0.9256,0.000806466770029601,EC00063
165.07459,C00392,M-H2O+H[1+],0.7944,0.00108646677000479,EC00063
182.08013,C00392,M[1+],0.9628,0.0011299999999892,EC00063
183.08447,C00392,M+H[1+],0.9399,0.00180646677000595,EC00063
221.04108,C00392,M+K[1+],0.7379,0.000696466770023108,EC00063
132.10106,C00407,M+H[1+],1.0714,0.000816466770032775,EC00020
154.08526,C00407,M+Na[1+],5.0085,0.00138353322998341,EC00021
147.11186,C00437,M-CO+H[1+],0.6541,0.000816466770004354,EC00064
175.10684,C00437,M+H[1+],0.7771,0.000836466770010702,EC00064
213.06259,C00437,M+K[1+],0.7741,0.000586466770016614,EC00064
101.02241,C00441,M-NH3+H[1+],1.0092,0.000966466769995122,EC00065
136.06075,C00441,M+H2O+H[1+],1.1146,0.000273533230000567,EC00065
136.0608,C00441,M+H2O+H[1+],0.8554,0.000323533229988016,EC00065
140.03325,C00441,M+Na[1+],0.9647,0.00137353323000866,EC00065
140.03327,C00441,M+Na[1+],2.8253,0.00139353322998659,EC00066
176.00979,C00441,M+NaCl[1+],0.8418,0.00131353323001804,EC00065
439.15607,C00445,M-H2O+H[1+],4.3486,0.0038064667700155,EC00067
189.01509,C00446,M-C3H4O2+H[1+],0.7561,0.000786466770023253,EC00015
