id,mz,rt,log2FC,t.score,p.value
892,155.10565,5.7456,-1.5679587926385672,33.22267295509693,6.469642584811472e-06
58,216.98569,0.6197,-0.47924761178907893,30.72206662697594,6.724786959309252e-06
940,557.19876,5.9398,-0.6756681896530399,50.166870772726035,6.730837590346909e-06
2584,326.30399,9.3486,-1.3471729346779142,40.37536385381973,6.963492218779976e-06
337,330.05771,0.9279,-0.7671988367378582,37.03655619997984,7.693323994450672e-06
700,387.05056,4.7704,-0.4766256079170512,34.71775053354046,8.199243671738183e-06
2870,522.35372,9.7054,-1.4771753345576233,34.24780904811045,8.306238176828867e-06
48,247.01376,0.6185,-0.46756755599019506,101.78134609791614,8.391609169937016e-06
523,329.16943,2.1864,-0.3180871737365294,30.031287104115002,8.762638548701862e-06
688,409.18182,4.7103,-1.3364482764515637,38.18666603856722,8.816675188039513e-06
16,134.03495,0.6111,-0.5138949291964696,47.91694387082805,9.018487471212641e-06
2338,480.30689,9.0915,-1.590932914823215,45.136475418203865,9.07282287547749e-06
341,261.9759,0.9511,3.1071289954854118,-70.617927684419,9.098858391285657e-06
278,116.06968,0.7753,-0.3012110861389683,43.70525868739831,9.139618300129364e-06
2306,324.28835,9.0694,-1.3960103102136063,31.709758652979772,9.566265616361703e-06
939,535.21681,5.9371,-0.703533565786346,30.711963744886855,9.671475687024575e-06
3480,165.08999,10.9523,-1.3342360277244856,30.30416620800059,9.805310448121029e-06
411,308.13266,1.1664,-0.385313307260823,32.243951079536764,1.0113857213905129e-05
2503,263.23569,9.261,-1.3172788187601796,35.01651811491869,1.0608676906731075e-05
3180,293.23406,10.2122,-2.030778488062797,57.82654705747759,1.0624201686588199e-05
1536,349.19714,7.303,-1.645963476684284,28.16700138591449,1.0764038903259575e-05
717,206.0801,4.8711,-0.5254630674909198,30.69682422799516,1.0804892710647314e-05
3383,524.36924,10.6984,-2.171379408934273,48.85929269683544,1.0805405135237147e-05
2483,494.32245,9.2472,-2.293626845496787,28.840740856653206,1.1858313050809822e-05
2555,498.37734,9.3224,-1.9595493666204638,27.312405508857342,1.2000507492313732e-05
12,135.03132,0.6099,-0.5001155542490014,32.955414717263366,1.277147305594081e-05
510,206.09139,1.9952,-0.6907916858215426,34.264457866358974,1.2833567431949967e-05
588,185.07746,3.7201,-0.7264798391438969,57.56049883000353,1.3359946830032344e-05
1554,460.3252,7.3806,-1.6595048113442887,27.913328081600792,1.3945457985486484e-05
691,277.10342,4.737,-0.5557130977760236,26.312517960022788,1.4045947324099055e-05
2606,482.32194,9.3648,-6.1877658470364265,89.35935807357644,1.4421057642823704e-05
50,385.92609,0.6185,-0.5964286928976756,27.951526929222936,1.4782253653293983e-05
2167,339.28789,8.89,-1.6423559681376165,34.386660647956774,1.4785692390878378e-05
623,286.17477,4.1011,-7.37111217528024,95.21778451632986,1.4797389974336766e-05
864,211.09301,5.6326,-0.7378574817321955,47.01590050667623,1.531152829491444e-05
585,173.10628,3.6616,-0.5916186807452792,28.82254905765931,1.5852441376468564e-05
527,188.06958,2.2078,-0.8845658872255022,83.40947739346781,1.600877257336995e-05
384,231.07598,1.0444,-1.5048484708562002,26.103281254538196,1.638566068845979e-05
638,194.08015,4.2694,-0.3813370344108824,28.674709510510915,1.6778707985468812e-05
3489,205.12127,10.9548,-1.3329558312660321,45.19780135781406,1.7684288303944807e-05
2861,501.38853,9.6764,-1.1921307456514842,27.3034802426308,1.7844158489522745e-05
1547,367.24396,7.3559,-2.204389835591682,24.061786287663516,1.7956752656583894e-05
3482,441.33473,10.9504,-1.2721525967041512,31.188152509113962,1.8103860846885596e-05
1579,335.21789,7.4684,-0.9561993370490391,30.24575305437937,1.8142339123475975e-05
698,386.04363,4.7698,-0.4011712122734421,24.322992609176335,1.8614401176998697e-05
248,293.0621,0.7494,-1.557383250187284,164.36575150353252,1.9085252604757903e-05
453,201.07231,1.3864,-0.573716501299657,39.62350723208167,1.9245164625475815e-05
2059,319.22298,8.6915,-1.2580067178198693,24.318626825844316,1.9426328205167975e-05
2464,339.28779,9.2205,-1.15118782130018,28.668980808725106,1.947639633230636e-05
249,321.05716,0.7499,-0.8757309025418669,25.325114499611985,2.0862454271166424e-05
3051,522.41022,9.9917,-5.985109667190944,26.235805652537056,2.127747849630381e-05
68,217.98718,0.6216,-0.4763199340167885,23.178985715810352,2.2213132206793357e-05
899,580.29322,5.7573,-2.7140865266271703,42.783327954497565,2.3223168826612407e-05
715,359.22727,4.8674,-7.258184813983622,23.622454908560663,2.3234699625636075e-05
2212,539.31726,8.955,-1.3919086475542883,23.86078648958602,2.3276077291802985e-05
865,217.14234,5.6326,-1.0078597387007688,42.81439531289629,2.3292187791995357e-05
381,321.9968,1.0181,0.45211995651206305,-28.670700070910765,2.3375267362613174e-05
363,344.13271,0.9954,-1.1926401021953854,52.53887113883975,2.376058200470123e-05
406,203.13733,1.1447,-0.8571966401125755,46.67258878771395,2.418758349084653e-05
414,229.15357,1.1719,-0.7324724740095334,35.23890250686691,2.5372915286207564e-05
2045,337.27227,8.7215,-2.3819002345955393,28.481264804529363,2.6254857325754747e-05
900,558.31137,5.7579,-2.4638190311492343,136.63130887104853,2.7492610196655174e-05
2218,355.28073,8.9599,-1.3793207986961686,23.673699741948557,2.8022286312441766e-05
40,470.91091,0.6172,-0.5839504791608485,22.34491685618095,2.8043742555762886e-05
1961,476.27552,8.544,-1.6173062503165,21.860362418917134,2.8441499374367766e-05
539,144.0798,2.3272,-0.9422963170453578,81.47917887810952,2.9207240475758047e-05
2039,355.28243,8.719,-2.0881603893658163,31.748872237072305,2.993238488800465e-05
1549,478.33575,7.3682,-1.3906865870493705,26.402848787464166,3.1255193952056054e-05
3053,522.35382,9.9771,-1.5296244334368438,48.34349116063767,3.15334034233772e-05
1345,507.36614,6.8165,-5.6743951892059945,20.917067290960237,3.346748569113819e-05
2472,265.25108,9.2224,-1.3442418377576804,20.747339758640656,3.388113551075865e-05
487,195.10952,1.7227,0.987092664711783,-30.302768171385093,3.39032104404946e-05
2147,860.48236,8.8528,-1.7562891907126659,32.14101763786426,3.4209709431597713e-05
2278,335.25635,9.0261,-1.0885534659599898,23.731837224205492,3.54378233088385e-05
24,103.00507,0.6142,-0.5226330136025128,21.684433664868962,3.5552985625817813e-05
156,122.92357,0.686,-0.22723104616376766,23.81739139229867,3.625248544864925e-05
868,271.15035,5.6335,-1.7092166502960868,43.48065956899781,3.742627540967472e-05
761,207.13688,5.042,-0.5254921659258738,21.056913565187283,3.7512848746487e-05
247,543.13044,0.7488,-1.3525814916270171,102.4813182705288,3.8053757810238216e-05
1940,653.42668,8.5263,1.4793311129147435,-28.5977147666461,3.862755047511189e-05
244,455.1145,0.7458,-1.7329324855215678,93.90236642773392,3.886701764038729e-05
1557,448.32544,7.3819,-4.983088817513643,20.887806270327285,3.895422501136344e-05
1933,675.35363,8.522,-4.564987281036489,23.218560977158813,3.9409270259736745e-05
304,138.05389,0.8215,-0.7177912803796112,88.00406032446173,3.997746857507779e-05
564,373.15912,2.9485,-0.7543616419930927,75.22375822275265,4.015459395980056e-05
240,383.08703,0.7439,-1.240546594646709,93.55275723459376,4.071591306914493e-05
2241,265.24694,8.9942,-1.8143993849418267,26.876138765165464,4.1316279617949545e-05
586,144.07976,3.6705,-0.6808635869891217,19.62041866715494,4.1618692736166004e-05
80,233.14849,0.6259,-0.9629449190970893,37.3161585790882,4.1798069176366535e-05
2061,297.24505,8.7395,-1.9176138237175948,28.216465421136608,4.256001617212753e-05
738,374.22752,4.9761,-5.628177261223641,20.38161677433645,4.5763973415457684e-05
867,212.09229,5.6329,-0.6715092344295028,19.671695121185035,4.642811005270212e-05
1682,384.30931,7.8078,-2.521075249546967,18.93380615674518,4.652235594980698e-05
701,266.99384,4.7735,-0.19685287945733076,19.42078370774367,4.673556153296287e-05
27,119.01799,0.6148,-0.5376027491748232,53.08428824423927,4.7336221153942695e-05
2734,518.32031,9.5094,-6.052700853036691,39.24563425984867,4.773681854487438e-05
695,189.05119,4.7686,-0.3881815480118185,24.140204274211396,5.044172271140818e-05
409,294.1534,1.1566,-1.2011775139804968,133.59247606805542,5.204206236373159e-05
2465,357.29829,9.2205,-1.115049694057216,23.109870312960627,5.217405887495948e-05
2068,497.32079,8.7636,-1.4300480062090282,26.017370041352983,5.323081718082691e-05
3322,307.2619,10.5486,-1.1068172069272055,21.35156357020574,5.334345700397768e-05
