Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
137.04478,C00262,M+H[1+],0.9605,0.000996466770004645,EC00043
175.0012,C00262,M+K[1+],0.9173,7.64667699968413e-05,EC00043
163.05884,C00267,M-H2O+H[1+],8.3204,0.00123646676999556,EC0003
163.0595,C00267,M-H2O+H[1+],6.43,0.000576466769985018,EC0004
163.05957,C00267,M-H2O+H[1+],6.1438,0.000506466769991221,EC0005
189.01505,C00275,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C00275,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C00275,M+H[1+],0.9009,0.00129646676998618,EC00015
201.01491,C00279,M+H[1+],0.746,0.000966466770023544,EC00044
219.02548,C00279,M+H2O+H[1+],0.7575,0.000996466770033066,EC00044
227.06493,C00299,M-H2O+H[1+],5.6343,0.00124646676999873,EC00045
148.06055,C00302,M+H[1+],0.9081,7.35332299939273e-05,EC0002
150.05731,C00302,M(Cl37)+H[1+],0.9136,0.000366466770003626,EC0002
150.05731,C00302,M(S34)+H[1+],0.9136,0.00103353322998601,EC0002
170.08013,C00314,M+H[1+],0.8961,0.00104646677002052,EC00046
146.16417,C00315,M+H[1+],0.6435,0.00100646677000782,EC00047
254.28303,C00319,M-HCOOH+H[1+],7.399,0.00124646676999873,EC00048
282.27779,C00319,M-H2O+H[1+],8.9613,0.00128646677001143,EC00049
282.27784,C00319,M-H2O+H[1+],6.9295,0.00123646676996714,EC00050
282.27841,C00319,M-H2O+H[1+],9.4278,0.000666466769985163,EC00051
283.26194,C00319,M-NH3+H[1+],8.8066,0.00123646677002398,EC00049
300.28773,C00319,M+H[1+],7.617,0.00194646676999355,EC00048
300.28829,C00319,M+H[1+],8.4587,0.00138646676998633,EC00052
300.28835,C00319,M+H[1+],9.1902,0.00132646677002413,EC00053
300.2884,C00319,M+H[1+],7.2031,0.00127646676997983,EC00048
301.29172,C00319,M(C13)+H[1+],7.6213,0.00135646677000523,EC00048
302.28278,C00319,M(S34)+H[1+],7.7755,0.00269646676997581,EC00048
318.2989,C00319,M+H2O+H[1+],6.8022,0.00137646677001158,EC00050
318.29917,C00319,M+H2O+H[1+],7.6164,0.00110646677001114,EC00048
338.24463,C00319,M+K[1+],8.2576,0.000546466770003917,EC00052
338.24781,C00319,M+K[1+],7.732,0.00263353323003912,EC00048
143.03526,C00322,M-H2O+H[1+],0.6125,0.00138353322998341,EC00054
162.07508,C00329,M-H2O+H[1+],0.9705,0.000996466769976223,EC00055
180.08557,C00329,M+H[1+],0.6456,0.00110646677001114,EC00056
180.0868,C00329,M+H[1+],1.4224,0.000123533230009798,EC00057
218.04143,C00329,M+K[1+],0.6786,0.000746466770010557,EC00056
268.10277,C00330,M+H[1+],1.0419,0.00130646676996093,EC00031
269.10596,C00330,M(C13)+H[1+],1.0392,0.00151646676999917,EC00031
142.02548,C00346,M+H[1+],0.7287,0.000896466770029747,EC00058
179.98127,C00346,M+K[1+],0.7257,0.000606466770022962,EC00058
260.05192,C00352,M+H[1+],0.7708,0.00105646677002369,EC00059
304.07797,C00362,M-CO2+H[1+],0.7666,0.00260646677003251,EC0001
330.0574,C00362,M-H2O+H[1+],0.9403,0.00237646677004477,EC0001
266.11771,C00378,M+H[1+],5.5954,0.001866466770025,EC00060
266.1221,C00378,M+H[1+],0.9178,0.00252353322997578,EC00061
304.07797,C00378,M+K[1+],0.7666,0.00289353322995112,EC00061
135.03126,C00385,M-H2O+H[1+],0.622,0.0011835332300052,EC00062
153.03971,C00385,M+H[1+],0.99,0.000966466769995122,EC00063
284.09774,C00387,M+H[1+],1.062,0.00123646677002398,EC00064
322.05375,C00387,M+K[1+],1.0642,0.000726466770004208,EC00064
147.06417,C00392,M-H4O2+H[1+],0.9537,0.000906466770032921,EC00065
165.07425,C00392,M-H2O+H[1+],1.1898,0.00142646676999902,EC00065
182.08011,C00392,M[1+],0.961,0.00110999999998285,EC00065
183.0849,C00392,M+H[1+],1.6831,0.00137646677001158,EC00065
183.08492,C00392,M+H[1+],0.9476,0.00135646677000523,EC00065
183.08522,C00392,M+H[1+],1.2871,0.00105646677002369,EC00065
205.06724,C00392,M+Na[1+],0.947,0.00103646677001734,EC00065
221.04114,C00392,M+K[1+],0.7497,0.000636466770004063,EC00065
132.10106,C00407,M+H[1+],1.0715,0.000816466770032775,EC00019
154.08527,C00407,M+Na[1+],5.0207,0.00139353322998659,EC00020
154.04884,C00430,M+Na[1+],3.9883,0.00136353323000549,EC00066
101.0224,C00441,M-NH3+H[1+],1.0093,0.000976466769984086,EC00067
136.06117,C00441,M+H2O+H[1+],0.863,0.000693533229991772,EC00067
140.03322,C00441,M+Na[1+],0.984,0.00134353322999914,EC00067
176.00972,C00441,M+NaCl[1+],0.8239,0.00124353322999582,EC00067
439.15602,C00445,M-H2O+H[1+],4.3706,0.00385646677000295,EC00068
439.15604,C00445,M-H2O+H[1+],4.9701,0.0038364667699966,EC00069
189.01505,C00446,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C00446,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C00446,M+H[1+],0.9009,0.00129646676998618,EC00015
209.15245,C00449,M-HCOONa+H[1+],7.3459,0.000473533229978784,EC00070
249.14499,C00449,M-CO+H[1+],7.3443,0.000613533230023222,EC00070
259.12919,C00449,M-H2O+H[1+],7.2868,0.000413533230016583,EC00070
115.03804,C00489,M-H2O+H[1+],1.0056,0.000936466770014022,EC00071
115.03805,C00489,M-H2O+H[1+],1.4132,0.000926466770010848,EC00072
155.03055,C00489,M+Na[1+],1.9213,0.00102646677001417,EC00072
155.03063,C00489,M+Na[1+],2.2682,0.000946466770017196,EC00072
103.05332,C00601,M-H2O+H[1+],1.513,0.000856466770002839,EC00073
121.06385,C00601,M+H[1+],0.9513,0.000926466769996637,EC00074
121.06392,C00601,M+H[1+],0.8446,0.000856466770002839,EC00074
147.06417,C00620,M-HCOOK+H[1+],0.9537,0.00100646677003624,EC00018
231.02532,C00620,M+H[1+],0.9252,0.00115646677002701,EC00018
249.03672,C00620,M+H2O+H[1+],0.7787,0.000356466770028874,EC00018
190.06972,C00624,M+H[1+],4.9589,0.00125646677003033,EC00075
190.07127,C00624,M+H[1+],2.2217,0.000293533229978493,EC00076
154.04884,C00632,M+H[1+],3.9883,0.00103646676998892,EC00077
189.01505,C00636,M-C3H4O2+H[1+],0.76,0.000826466770007528,EC00015
233.04104,C00636,M-CO+H[1+],0.8251,0.0009364667699856,EC00015
261.03568,C00636,M+H[1+],0.9009,0.00129646676998618,EC00015
203.05766,C00647,M-HCOOH+H[1+],4.228,0.000416466769991075,EC00078
249.06375,C00647,M+H[1+],4.4164,0.000273533230000567,EC00078
