"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Chrysenes","6","5","5","0.12107","0.11456","1","0.0010255","7","0.07","1","1","0.084091","P23","EC00026"
"Hydroxyquinolones","3","1","1","0.12107","0.11456","1","0.0010255","11","0.11","1","1","0.084091","P24","EC000130"
"1-benzopyrans","44","13","4","2.0581","0.12064","0.30447","0.0010511","1","0.01","1","1","0.084091","P25","EC00046;EC000208;EC00076;EC0001496"
"Catechols","12","4","1","0.7264","0.14372","0.5166","0.0011548","9","0.09","1","1","0.084091","P26","EC000890;EC000891"
"Phenols","8","2","1","0.7264","0.14372","0.5166","0.0011548","29","0.29","1","1","0.084091","P27","EC000157;EC000160"
"Pyrimidines","24","6","2","0.84747","0.18661","0.57188","0.0013773","13","0.13","1","1","0.0909018","P28","EC000105;EC0001213"
"Organic phosphoric acids","9","3","2","0.24213","0.21607","1","0.001556","12","0.12","1","1","0.10114","P29","EC0001006"
"Indole-3-acetic acid derivatives","6","1","1","0.24213","0.21607","1","0.001556","23","0.23","1","1","0.10114","P30","EC000187"
"Diarylethers","9","2","1","0.24213","0.21607","1","0.001556","16","0.16","1","1","0.10114","P31","EC0001529"
"Tryptamines","12","2","1","0.24213","0.21607","1","0.001556","18","0.18","1","1","0.10114","P32","EC000391"
