CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2667	3449	7	0.942	-73.573
2266	2496	7	0.8065	-2.015
2754	2872	7	0.8728	-31.041
1418	2155	7	0.7419	12.948
2169	3467	7	0.8588	18.641
3449	3467	7	0.8896	0.167
3456	3467	7	0.9509	-0.317
3459	3467	7	0.9516	0.086
3467	3474	7	0.8814	0.077
1818	1980	7	0.9251	-18.011
1924	1980	7	0.769	-3.047
1980	2364	7	0.8792	17.957
1980	2534	7	0.8285	18.029
2665	3456	7	0.8682	-56.062
3449	3456	7	0.8876	0.484
3456	3459	7	0.9544	-0.404
3456	3474	7	0.8889	-0.240
2242	3135	7	0.9162	0.106
2249	3135	7	0.8616	18.117
2349	3135	7	0.8419	18.117
2764	3135	7	0.8508	18.117
2363	2505	7	0.7485	204.231
1818	1985	7	0.8279	-0.000
1818	2364	7	0.8717	-0.054
1818	2534	7	0.8643	0.019
2127	2141	7	0.9859	-14.016
2191	2496	7	0.7533	-3.018
2496	2505	7	0.7558	1.004
1985	2155	7	0.7904	2.016
2155	2191	7	0.7936	-75.021
2155	2533	7	0.7444	17.026
2182	2655	7	0.8666	-28.285
2182	2665	7	0.9345	-28.032
2182	2674	7	0.8622	-310.038
2182	2700	7	0.8667	-27.979
2182	2723	7	0.8655	-28.137
2182	3114	7	0.8938	-56.104
2191	2505	7	0.7781	-2.015
2397	2505	7	0.7467	0.001
2505	2624	7	0.84	42.009
1787	1923	7	0.8922	-32.026
1901	1923	7	0.7409	-12.989
2127	2534	7	0.8119	19.014
2364	2534	7	0.8578	0.073
2534	2624	7	0.8054	-33.029
3180	3322	7	0.7708	-14.028
1924	3180	7	0.8021	1.991
1938	2364	7	0.8	0.931
1985	2364	7	0.8091	-0.053
2364	2783	7	0.9125	17.080
1938	1976	7	0.8965	-30.011
1938	3381	7	0.8143	-14.016
2655	2723	7	0.9858	0.148
2665	2723	7	0.9828	-0.105
2674	2723	7	0.9942	281.901
2700	2723	7	0.9869	-0.158
2723	3114	7	0.905	-27.967
2169	2242	7	0.9181	18.010
2169	2754	7	0.889	92.047
2169	3449	7	0.932	18.474
1976	1985	7	0.7934	30.995
1976	2397	7	0.748	-44.026
1976	2783	7	0.8258	48.021
1976	3381	7	0.8181	15.995
1985	2783	7	0.8213	17.026
2397	2624	7	0.7553	42.010
3449	3459	7	0.8945	0.080
3459	3474	7	0.8584	0.163
2655	2665	7	0.9773	0.254
2655	2674	7	0.9902	-281.753
2655	2700	7	0.9907	0.307
2655	3114	7	0.898	-27.819
2655	3474	7	0.8949	-56.049
2039	2191	7	0.7963	2.015
2191	2249	7	0.8819	-4.031
2191	2764	7	0.8911	-4.031
2665	2674	7	0.9869	-282.007
2665	2700	7	0.9877	0.053
2665	3114	7	0.9581	-28.072
2791	2965	7	0.7436	0.021
2039	2764	7	0.8371	-2.016
2242	2764	7	0.8836	-18.011
2249	2764	7	0.9188	-0.000
2349	2764	7	0.8647	-0.000
2242	2754	7	0.9176	74.037
2039	2397	7	0.7789	0.000
2039	2249	7	0.8531	-2.016
2249	2349	7	0.8657	0.000
2674	2700	7	0.9917	282.060
2674	3114	7	0.8989	253.934
2039	2349	7	0.8085	-2.016
2242	2349	7	0.8998	-18.010
2700	3114	7	0.897	-28.125
2783	3381	7	0.8688	-32.026
2965	3381	7	0.7865	-0.040
