"","id","mz","rt","log2FC","t.score","p.value"
"37",3485,423.32424,10.9529,-1.30203291648364,44.1682424778014,2.01528969645954e-06
"38",70,251.15901,0.6216,-0.865189313816604,43.3032507650307,2.08829967417753e-06
"39",1717,315.25185,7.8792,-6.04301014413502,41.6384496297297,2.15044618961227e-06
"40",1569,280.26225,7.4384,-1.14067986813244,40.2555018895533,2.28835346694919e-06
"41",405,456.20595,1.1357,-1.73205246059,65.2001765959868,2.41899333948274e-06
"42",2413,518.32245,9.1753,-1.91695263458222,55.155008638297,2.48475276935614e-06
"43",1278,427.26504,6.6435,-2.62431938584622,52.2426859254957,2.71607091408496e-06
"44",896,187.13173,5.7468,-1.49802907384613,47.3161967020237,2.74000208417072e-06
"45",300,190.01172,0.8036,-1.07246027623417,37.8543840360623,3.01217184215937e-06
"46",2506,245.22518,9.2623,-1.41967520260955,37.9838005449234,3.12061427930647e-06
"47",2915,496.33818,9.7632,-1.76621667308503,56.4853621905116,3.16907227146941e-06
"48",198,534.69963,0.6951,-0.846809694006709,38.6249625849257,3.21242052226712e-06
"49",295,221.18491,0.7913,-1.03770907038007,40.1778064073252,3.48729113035628e-06
"50",230,221.04108,0.7379,-1.64939312214485,89.8926372445381,3.53357940181607e-06
"51",2169,357.29837,8.8912,-1.69727175375559,38.4078880494225,3.54883655978914e-06
"52",231,219.02552,0.7397,-1.43363315734707,177.062801937451,3.78515129651903e-06
"53",2524,520.33756,9.2982,-2.01740336181264,38.5821270795634,3.83554743300331e-06
"54",2110,478.29104,8.8093,-2.15761021126501,36.5516495403823,3.92881099790932e-06
"55",485,328.13777,1.6688,-1.37314468891021,139.567996866116,4.08401983511908e-06
"56",2865,500.39291,9.6819,-1.75238076403311,36.991831137445,4.37031568805522e-06
"57",38,215.98885,0.6172,-0.493962890279381,54.2440537635131,4.37211666367638e-06
"58",8,413.21146,0.6068,-0.897906353037348,57.3836971941458,4.44828903267475e-06
"59",1617,318.29896,7.6169,-1.06310910188442,36.9795830493488,4.5378605054413e-06
"60",61,414.95301,0.6197,-0.591833449180458,34.3262612012686,4.77397264680119e-06
"61",309,176.00979,0.8418,-0.425494176552954,36.7066665308608,4.89275600466165e-06
"62",769,248.05176,5.0545,0.578006254924754,-35.3406466461722,5.13364366422375e-06
"63",862,415.16243,5.6297,-1.15809592699168,33.5054781064493,5.3472535050563e-06
"64",465,120.07984,1.5093,-1.05019321615385,77.2328004079516,5.77719083020458e-06
"65",850,211.16821,5.5669,-0.690713480055121,33.3432878317037,5.89986553593828e-06
"66",2791,295.24264,9.6228,-3.47600739846031,32.9953572163094,5.96024766359461e-06
"67",49,382.92697,0.6185,-0.608148456592257,71.1187516506842,6.04560070681697e-06
"68",2414,540.30517,9.1759,-1.87857372495868,36.2794493826225,6.17513288697788e-06
"69",3055,1043.70087,9.9787,-6.80415885511195,31.0643022681669,6.43597955626794e-06
"70",892,155.10565,5.7456,-1.56795879263857,33.2226729550969,6.46964258481147e-06
"71",58,216.98569,0.6197,-0.479247611789079,30.7220666269759,6.72478695930925e-06
"72",940,557.19876,5.9398,-0.67566818965304,50.166870772726,6.73083759034691e-06
"73",2584,326.30399,9.3486,-1.34717293467791,40.3753638538197,6.96349221877998e-06
"74",337,330.05771,0.9279,-0.767198836737858,37.0365561999798,7.69332399445067e-06
"75",700,387.05056,4.7704,-0.476625607917051,34.7177505335405,8.19924367173818e-06
"76",2870,522.35372,9.7054,-1.47717533455762,34.2478090481104,8.30623817682887e-06
"77",48,247.01376,0.6185,-0.467567555990195,101.781346097916,8.39160916993702e-06
"78",523,329.16943,2.1864,-0.318087173736529,30.031287104115,8.76263854870186e-06
"79",688,409.18182,4.7103,-1.33644827645156,38.1866660385672,8.81667518803951e-06
"80",16,134.03495,0.6111,-0.51389492919647,47.916943870828,9.01848747121264e-06
"81",2338,480.30689,9.0915,-1.59093291482321,45.1364754182039,9.07282287547749e-06
"82",341,261.9759,0.9511,3.10712899548541,-70.617927684419,9.09885839128566e-06
"83",278,116.06968,0.7753,-0.301211086138968,43.7052586873983,9.13961830012936e-06
"84",2306,324.28835,9.0694,-1.39601031021361,31.7097586529798,9.5662656163617e-06
"85",939,535.21681,5.9371,-0.703533565786346,30.7119637448869,9.67147568702458e-06
"86",3480,165.08999,10.9523,-1.33423602772449,30.3041662080006,9.80531044812103e-06
"87",411,308.13266,1.1664,-0.385313307260823,32.2439510795368,1.01138572139051e-05
"88",2503,263.23569,9.261,-1.31727881876018,35.0165181149187,1.06086769067311e-05
"89",3180,293.23406,10.2122,-2.0307784880628,57.8265470574776,1.06242016865882e-05
"90",1536,349.19714,7.303,-1.64596347668428,28.1670013859145,1.07640389032596e-05
"91",717,206.0801,4.8711,-0.52546306749092,30.6968242279952,1.08048927106473e-05
"92",3383,524.36924,10.6984,-2.17137940893427,48.8592926968354,1.08054051352371e-05
"93",2483,494.32245,9.2472,-2.29362684549679,28.8407408566532,1.18583130508098e-05
"94",2555,498.37734,9.3224,-1.95954936662046,27.3124055088573,1.20005074923137e-05
"95",12,135.03132,0.6099,-0.500115554249001,32.9554147172634,1.27714730559408e-05
"96",510,206.09139,1.9952,-0.690791685821543,34.264457866359,1.283356743195e-05
"97",588,185.07746,3.7201,-0.726479839143897,57.5604988300035,1.33599468300323e-05
"98",1554,460.3252,7.3806,-1.65950481134429,27.9133280816008,1.39454579854865e-05
"99",691,277.10342,4.737,-0.555713097776024,26.3125179600228,1.40459473240991e-05
"100",2606,482.32194,9.3648,-6.18776584703643,89.3593580735764,1.44210576428237e-05
