CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
3066	3803	15	0.8861	18.011
3066	4156	15	0.8671	-27.091
3066	4494	15	0.8368	-55.154
3066	4496	15	0.8402	-55.079
3066	4503	15	0.852	-55.019
3174	4156	15	0.8744	-56.040
3705	4156	15	0.8627	-28.005
4156	4494	15	0.8716	-28.064
4156	4496	15	0.9332	-27.988
4156	4503	15	0.8748	-27.928
3174	3698	15	0.8891	-28.407
3684	3698	15	0.881	-0.193
3694	3698	15	0.9747	281.566
3698	3705	15	0.9715	0.371
3698	3723	15	0.9765	0.499
3698	3724	15	0.9861	0.296
3174	3694	15	0.8805	-309.973
3174	3705	15	0.9543	-28.035
3174	3723	15	0.8789	-27.907
3174	3724	15	0.8829	-28.110
2993	3216	15	0.8514	-0.000
2993	3419	15	0.8498	-0.000
2993	3528	15	0.8488	74.036
3252	3419	15	0.8786	-28.031
2639	3388	15	0.8859	-0.069
2815	3388	15	0.9267	18.928
2829	3388	15	0.9093	0.915
2836	3388	15	0.9693	18.853
3388	3390	15	0.9512	0.069
3388	3528	15	0.9441	17.096
3724	4155	15	0.873	-27.887
2598	2971	15	0.8482	0.000
1963	3834	15	0.8652	-0.036
2815	3528	15	0.864	36.024
2829	3528	15	0.9041	18.011
2836	3528	15	0.9406	35.949
3390	3528	15	0.8947	17.027
3684	3723	15	0.8914	0.307
3694	3723	15	0.9808	282.066
3705	3723	15	0.985	0.128
3723	3724	15	0.9852	-0.203
3723	4503	15	0.8762	-56.062
2639	2836	15	0.8601	-18.922
2815	2836	15	0.9049	0.075
2829	2836	15	0.9062	-17.938
2836	3390	15	0.9269	18.922
1985	2456	15	0.8639	18.011
2456	2998	15	0.8588	50.000
3684	3694	15	0.8945	-281.759
3684	3705	15	0.8792	0.179
3684	3724	15	0.8957	0.103
3684	3803	15	0.8552	17.275
3375	3803	15	0.8736	92.047
1985	3401	15	0.8448	68.011
3694	3705	15	0.9769	281.938
3694	3724	15	0.9852	281.863
2642	3404	15	0.9039	-0.000
3146	3477	15	0.8534	0.000
4494	4503	15	0.9558	0.135
4496	4503	15	0.958	0.059
2639	2895	15	0.9483	-18.010
2639	3390	15	0.8583	-0.000
1286	2642	15	0.8299	-38.125
3705	3724	15	0.9804	-0.075
2998	3401	15	0.8913	-0.000
2815	2829	15	0.9397	18.013
2815	3390	15	0.9069	18.997
4494	4496	15	0.9346	0.076
2642	2829	15	0.8901	-18.011
2829	3390	15	0.9015	0.984
3885	4423	15	0.9146	63.068
3136	3623	16	0.8194	-28.030
2054	2055	18	0.9333	0.110
2055	3191	18	0.7761	29.995
1802	1853	20	0.9972	-0.014
1812	1865	20	0.9958	-56.026
1865	1965	20	0.8627	42.010
1865	1972	20	0.8307	27.995
1865	1984	20	0.8997	56.026
1812	1984	20	0.8773	-0.000
1965	1984	20	0.8787	14.016
1821	1965	20	0.8595	14.016
1965	1972	20	0.8497	-14.016
1965	2637	20	0.8371	-48.036
1802	1830	20	0.8119	3.981
1968	2637	20	0.836	-98.073
1830	2633	20	0.8308	14.016
1969	2633	20	0.8358	-15.995
2633	2637	20	0.833	18.010
1812	1972	20	0.8188	-28.031
3309	3326	21	0.8012	15.994
3326	3360	21	0.7865	15.995
3853	3935	22	0.8078	0.000
3935	4070	22	0.8366	0.000
3935	4294	22	0.7584	0.000
3935	4366	22	0.8428	0.000
3935	4437	22	0.785	0.000
3935	4482	22	0.7264	0.054
3853	4070	22	0.8419	0.000
3853	4437	22	0.7183	0.000
3316	4070	22	0.7507	-0.000
3316	4437	22	0.7629	0.000
4070	4294	22	0.7387	0.000
4294	4366	22	0.8494	0.000
4294	4437	22	0.8335	0.000
4294	4482	22	0.7583	0.054
4070	4366	22	0.7849	0.000
4070	4437	22	0.8178	0.000
4070	4482	22	0.7605	0.054
3602	4437	22	0.7681	-0.000
4366	4437	22	0.8981	0.000
4437	4482	22	0.801	0.054
4366	4482	22	0.8085	0.054
3602	4366	22	0.7806	-0.000
4181	4379	23	0.8847	24.000
3921	4341	23	0.7814	-128.161
4306	4341	23	0.9367	0.000
3921	4379	23	0.8824	-2.057
3921	4306	23	0.7887	-128.161
2833	3132	24	0.8718	-0.072
3132	3348	24	0.8908	0.000
3132	3639	24	0.7972	-0.000
2801	2833	24	0.9216	-14.003
166	201	25	0.8917	-53.070
167	201	25	0.7947	-51.072
185	201	25	0.8792	-41.043
186	201	25	0.8106	42.918
190	201	25	0.8867	124.881
149	182	25	0.7704	-177.950
166	182	25	0.7876	-93.989
166	190	25	0.8691	-177.950
167	190	25	0.79	-175.953
185	190	25	0.8692	-165.924
166	186	25	0.7567	-95.988
167	186	25	0.7695	-93.990
185	186	25	0.8408	-83.961
166	185	25	0.8642	-12.027
167	185	25	0.8141	-10.029
166	167	25	0.7772	-1.998
149	166	25	0.8929	-83.961
1554	2701	26	0.9396	14.016
2909	2997	27	0.865	-0.000
2997	3256	27	0.8338	-2.016
2909	3256	27	0.8474	-2.016
3017	3468	28	0.9419	-28.031
3189	3468	28	0.9594	-2.016
3287	3468	28	0.945	-14.016
3329	3468	28	0.9415	-26.016
3069	3287	28	0.7404	12.000
3017	3329	28	0.9745	-2.016
3189	3329	28	0.9526	24.000
3287	3329	28	0.933	12.000
3017	3287	28	0.9559	-14.016
3189	3287	28	0.9474	12.000
3017	3189	28	0.9519	-26.016
1837	1970	29	0.7166	-2.016
2911	3001	30	0.9178	-0.000
3001	3012	30	0.9639	-0.129
3001	3243	30	0.9573	-2.017
2780	3119	30	0.9132	21.984
3012	3119	30	0.9309	24.000
3119	3242	30	0.9116	-26.016
2911	3012	30	0.8961	-0.129
2911	3243	30	0.88	-2.017
2780	3012	30	0.9336	-2.016
2780	3242	30	0.9273	-4.031
3012	3242	30	0.9408	-2.016
3242	3243	30	0.937	0.128
2013	2121	31	0.9186	17.975
2121	2552	31	0.8415	13.068
2121	3036	31	0.7562	15.084
2013	3036	31	0.7463	33.058
2295	4063	33	0.8169	-0.000
3611	4063	33	0.8397	-0.000
3840	4063	33	0.8124	0.000
2548	3840	33	0.8247	-0.000
3937	4127	33	0.8308	0.111
3840	3937	33	0.8891	0.000
1338	1435	34	0.9282	87.032
366	475	36	0.8513	-33.984
475	479	36	0.7141	180.063
479	480	36	0.7862	-18.010
480	503	36	0.7284	30.010
451	455	37	0.999	-0.057
1999	2000	38	0.9791	0.038
2000	2008	38	0.7073	-44.026
1999	2008	38	0.7272	-43.987
290	367	39	0.7836	-14.016
919	1339	40	0.7163	-85.016
2234	2237	41	0.8647	0.071
6	40	43	0.9921	-0.076
26	40	43	0.987	-14.016
6	26	43	0.9949	13.939
1894	1897	44	0.9784	-0.069
1895	1897	44	0.9173	-0.446
1897	1913	44	0.9792	0.083
1894	1898	44	0.9841	0.172
1898	1899	44	0.9887	0.137
1898	1913	44	0.9853	-0.157
1894	1895	44	0.9042	0.378
1894	1899	44	0.9841	0.309
1894	1913	44	0.9932	0.015
1899	1913	44	0.9811	-0.295
1895	1913	44	0.9021	-0.363
2118	2120	46	1.0	0.005
2665	2666	47	0.7118	-17.965
2666	3591	47	0.7973	18.010
2503	2744	47	0.7039	36.021
2665	2744	47	0.7548	0.045
2744	3591	47	0.776	-0.000
2665	3591	47	0.9313	0.045
2749	3591	47	0.9115	0.049
3591	3879	47	0.7642	-2.016
2665	2749	47	0.9747	-0.004
2665	3879	47	0.7462	-1.970
3305	3341	48	0.8535	0.054
2022	2052	49	0.9494	-0.030
1932	2052	49	0.7919	0.021
1604	1770	50	0.9595	0.000
4051	4231	51	0.8419	0.000
2521	2716	52	0.9473	-14.016
1878	2027	53	0.7488	-2.016
539	542	54	0.9252	17.027
542	1088	54	0.7319	-18.010
3800	3954	55	0.8256	22.934
3800	4109	55	0.7595	-3.083
3954	4109	55	0.8998	-26.016
4040	4110	56	0.8778	-0.014
4113	4115	57	0.9296	-18.011
4113	4342	57	0.757	10.021
4113	4349	57	0.9661	28.032
4115	4349	57	0.7378	46.042
4342	4349	57	0.9291	18.011
4349	4353	57	0.7596	144.042
4115	4342	57	0.9435	28.031
536	553	59	0.8226	-86.036
807	1097	60	0.7977	-14.016
1097	1100	60	0.7788	-1.003
1097	1136	60	0.8354	-0.069
807	818	60	0.7616	-0.069
818	882	60	0.861	0.000
807	882	60	0.8092	-0.069
807	1100	60	0.7268	-15.019
882	1136	60	0.7297	-14.016
1090	1244	61	0.8468	-14.010
1818	1833	62	0.7714	15.972
1818	1847	62	0.8539	31.949
1833	1847	62	0.9059	15.977
1813	1833	62	0.7989	-183.085
3075	3192	64	0.8588	24.000
1851	2018	65	0.7389	-2.016
971	975	67	0.8472	-1.003
4101	4282	68	0.8477	-2.016
3998	4057	71	0.8781	-0.045
2941	3291	72	0.8287	0.000
3291	4039	72	0.8277	-0.000
1032	1041	73	0.721	83.031
1222	3806	74	0.7746	-93.156
3794	3806	74	0.8679	-1.020
3806	3946	74	0.9557	24.017
3806	3955	74	0.8816	25.020
3806	4104	74	0.888	-0.995
3794	3955	74	0.9694	24.000
3946	3955	74	0.9069	1.003
3955	4104	74	0.9931	-26.016
3794	3946	74	0.8849	22.997
3794	4104	74	0.976	-2.016
3946	4104	74	0.91	-25.012
4257	4273	75	0.9596	0.112
3426	3494	76	0.7517	12.000
2703	2731	77	0.9294	-0.073
2703	2735	77	0.8665	-0.142
2731	2735	77	0.8639	-0.069
3311	3343	78	0.9893	0.018
3752	3759	79	0.7767	-24.000
3752	3982	79	0.7723	24.000
2314	2315	81	0.8941	-0.074
2314	2316	81	0.9093	-0.398
2314	2328	81	0.9046	-0.376
2315	2316	81	0.9399	-0.324
2316	2328	81	0.9595	0.021
2315	2328	81	0.9424	-0.303
2423	2426	82	0.7127	1.004
2423	2453	82	0.7415	1.002
2423	2489	82	0.997	-0.000
2415	2426	82	0.8833	-1.011
2415	2453	82	0.8793	-1.014
2426	2453	82	0.9805	-0.002
2453	2489	82	0.7037	-1.002
2927	3018	83	0.8671	0.000
373	386	86	0.7971	72.016
2068	2076	88	0.76	-17.000
3852	3909	89	0.7068	15.999
3852	4015	89	0.7068	16.001
3446	4015	89	0.7292	13.986
3909	4015	89	1.0	0.002
3446	3909	89	0.7292	13.983
3513	3521	90	0.9367	0.066
3513	4016	90	0.9467	-27.923
3513	4020	90	0.9402	-27.965
3513	4022	90	0.9234	-28.035
3521	4016	90	0.9166	-27.989
3521	4020	90	0.9213	-28.031
3521	4022	90	0.8964	-28.100
4016	4020	90	0.9926	-0.043
4020	4022	90	0.9601	-0.069
4016	4022	90	0.9556	-0.112
3683	3738	97	0.7808	12.000
2123	2206	100	0.9244	-0.003
1703	2141	104	0.7686	-258.109
1867	2141	104	0.7173	-172.073
2026	2141	104	0.7853	-86.036
1703	1867	104	0.8633	-86.036
1867	2026	104	0.8173	-86.037
1703	2026	104	0.7076	-172.073
4191	4208	108	0.9086	-0.106
4191	4250	108	0.816	-0.106
3166	3168	111	0.7219	23.989
2793	3240	116	0.8296	32.026
