row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Mots_18102024_Foodomics_CYF1_S52.mzML Peak area,Mots_18102024_Foodomics_CYF1_S53.mzML Peak area,Mots_18102024_Foodomics_CYF1_S54.mzML Peak area,Mots_18102024_Foodomics_CYF2_S55.mzML Peak area,Mots_18102024_Foodomics_CYF2_S56.mzML Peak area,Mots_18102024_Foodomics_CYF2_S57.mzML Peak area,
314,137.04477960446675,0.96046114,,,,15,,,,,,,1695.3754,1726.877,1721.4114,1175.7714,1162.9307,1145.8153,
315,182.08011414681667,0.9610445,,,,15,,,,,,,1799.7195,1746.5092,1798.0637,2531.5457,2464.16,2451.8875,
320,365.10438932013614,0.96596104,,,,,,,,,,,74.57826,43.377304,36.830833,745.6296,731.5253,555.2356,
317,300.1429459382635,0.97079164,,,,,,,,,,,291.22638,344.32263,329.31647,428.10675,454.46545,447.31647,
318,124.0383473027283,0.9720028,,,,,,,,,,,1178.7994,1216.0455,1179.5798,1050.659,1015.059,1013.99695,
313,353.01486350406867,0.975725,,,,,,,,,,,358.65237,357.4599,333.51703,348.33917,542.35406,557.4791,
321,344.1325398459244,0.9817695,,,,,,,,,,,242.71054,254.1017,256.0412,470.50345,453.99786,449.64484,
322,140.03321854517836,0.98399997,,,,,,,,,,,323.33124,312.74686,329.74567,0,0,0,
301,291.0625848533361,0.9859972,,,,4,,,,,,,377.3044,201.50793,255.59671,661.3983,635.9967,647.1402,
325,153.03970553903557,0.9899972,,,,,,,,,,,898.7314,912.4942,908.5373,43.738125,20.522608,12.534185,
335,290.9784473843957,1.0068055,,,,,,,,,,,322.03076,305.164,294.4417,148.15572,148.74959,173.45296,
339,275.0062356734062,1.0138861,,,,,,,,,,,385.44684,375.8765,377.32367,240.3448,257.72018,235.83115,
345,474.216312763831,1.0379584,,,,6,,,,,,,198.83159,167.21838,36.78058,571.7177,556.4582,572.3775,
347,269.10595618851,1.0391582,,,,,,,,,,,28.321098,54.268707,44.263535,275.77896,320.52295,143.9107,
344,268.10277468410294,1.0418972,,,,6,,,,,,,1055.6241,1046.6753,1039.8491,2600.529,2629.8362,2623.5164,
331,230.16994854763655,1.0423778,,,,,,,,,,,1307.7471,1307.264,1575.8368,8.142923,29.223305,9.743725,
348,263.0202085890954,1.0571471,,,,,,,,,,,1064.074,985.44775,1028.9016,952.14526,966.03784,900.0887,
349,380.03858331227457,1.058664,,,,,,,,,,,401.81506,375.4337,385.42923,348.0537,333.22498,339.95914,
351,284.0977384628896,1.0619861,,,,,,,,,,,185.24821,230.58511,198.2624,689.92395,703.06714,694.7093,
357,332.10917786195586,1.0950137,,,,8,,,,,,,713.24945,753.29803,748.32355,1141.5969,1156.4885,1159.6981,
359,546.2737230429815,1.0982944,,,,,,,,,,,376.04898,390.7222,384.54004,7.6062117,9.802931,7.510921,
346,438.1958084327419,1.1003861,,,,,,,,,,,350.25067,349.9886,361.3282,512.34033,507.61777,521.67126,
360,384.2212960156715,1.1047138,,,,8,,,,,,,1108.5742,1104.2885,1088.4451,1468.0717,1476.9663,1486.0586,
365,453.1352763901636,1.1262027,,,,,,,,,,,1993.658,2039.7,2036.4156,888.2781,645.21954,885.6719,
366,456.20588566621063,1.1426166,,,,19,,,,,,,1382.6738,1408.7822,1371.7639,2055.3687,2023.0435,2050.8955,
367,294.153436610676,1.1428862,,,,19,,,,,,,7380.968,7380.279,7249.7197,11078.7295,11040.609,11100.6045,
369,276.14309521012996,1.1463084,,,,19,,,,,,,2181.444,2164.702,2150.527,3433.9426,3416.6716,3379.197,
371,353.07743783206826,1.1630722,,,,,,,,,,,1363.2643,1365.6044,1321.0156,1635.2039,1606.5768,1643.3507,
