p.value,m.z,t.score,r.t,pos_inx
1.06242016865882e-05,293.23406,57.8265470574776,10.2122,TRUE
1.07640389032596e-05,349.19714,28.1670013859145,7.303,TRUE
1.08048927106473e-05,206.0801,30.6968242279952,4.8711,TRUE
1.08054051352371e-05,524.36924,48.8592926968354,10.6984,TRUE
1.18583130508098e-05,494.32245,28.8407408566532,9.2472,TRUE
1.20005074923137e-05,498.37734,27.3124055088573,9.3224,TRUE
1.27714730559408e-05,135.03132,32.9554147172634,0.6099,TRUE
1.283356743195e-05,206.09139,34.264457866359,1.9952,TRUE
1.33599468300323e-05,185.07746,57.5604988300035,3.7201,TRUE
1.39454579854865e-05,460.3252,27.9133280816008,7.3806,TRUE
1.40459473240991e-05,277.10342,26.3125179600228,4.737,TRUE
1.44210576428237e-05,482.32194,89.3593580735764,9.3648,TRUE
1.4782253653294e-05,385.92609,27.9515269292229,0.6185,TRUE
1.47856923908784e-05,339.28789,34.3866606479568,8.89,TRUE
1.47973899743368e-05,286.17477,95.2177845163299,4.1011,TRUE
1.53115282949144e-05,211.09301,47.0159005066762,5.6326,TRUE
1.58524413764686e-05,173.10628,28.8225490576593,3.6616,TRUE
1.600877257337e-05,188.06958,83.4094773934678,2.2078,TRUE
1.63856606884598e-05,231.07598,26.1032812545382,1.0444,TRUE
1.67787079854688e-05,194.08015,28.6747095105109,4.2694,TRUE
1.76842883039448e-05,205.12127,45.1978013578141,10.9548,TRUE
1.78441584895227e-05,501.38853,27.3034802426308,9.6764,TRUE
1.79567526565839e-05,367.24396,24.0617862876635,7.3559,TRUE
1.81038608468856e-05,441.33473,31.188152509114,10.9504,TRUE
1.8142339123476e-05,335.21789,30.2457530543794,7.4684,TRUE
1.86144011769987e-05,386.04363,24.3229926091763,4.7698,TRUE
1.90852526047579e-05,293.0621,164.365751503533,0.7494,TRUE
1.92451646254758e-05,201.07231,39.6235072320817,1.3864,TRUE
1.9426328205168e-05,319.22298,24.3186268258443,8.6915,TRUE
1.94763963323064e-05,339.28779,28.6689808087251,9.2205,TRUE
2.08624542711664e-05,321.05716,25.325114499612,0.7499,TRUE
2.12774784963038e-05,522.41022,26.2358056525371,9.9917,TRUE
2.22131322067934e-05,217.98718,23.1789857158104,0.6216,TRUE
2.32231688266124e-05,580.29322,42.7833279544976,5.7573,TRUE
2.32346996256361e-05,359.22727,23.6224549085607,4.8674,TRUE
2.3276077291803e-05,539.31726,23.860786489586,8.955,TRUE
2.32921877919954e-05,217.14234,42.8143953128963,5.6326,TRUE
2.33752673626132e-05,321.9968,-28.6707000709108,1.0181,TRUE
2.37605820047012e-05,344.13271,52.5388711388398,0.9954,TRUE
2.41875834908465e-05,203.13733,46.672588787714,1.1447,TRUE
2.53729152862076e-05,229.15357,35.2389025068669,1.1719,TRUE
2.62548573257548e-05,337.27227,28.4812648045294,8.7215,TRUE
2.74926101966552e-05,558.31137,136.631308871049,5.7579,TRUE
2.80222863124418e-05,355.28073,23.6736997419486,8.9599,TRUE
2.80437425557629e-05,470.91091,22.344916856181,0.6172,TRUE
2.84414993743678e-05,476.27552,21.8603624189171,8.544,TRUE
2.9207240475758e-05,144.0798,81.4791788781095,2.3272,TRUE
2.99323848880047e-05,355.28243,31.7488722370723,8.719,TRUE
3.12551939520561e-05,478.33575,26.4028487874642,7.3682,TRUE
3.15334034233772e-05,522.35382,48.3434911606377,9.9771,TRUE
3.34674856911382e-05,507.36614,20.9170672909602,6.8165,TRUE
3.38811355107587e-05,265.25108,20.7473397586407,9.2224,TRUE
3.39032104404946e-05,195.10952,-30.3027681713851,1.7227,TRUE
3.42097094315977e-05,860.48236,32.1410176378643,8.8528,TRUE
3.54378233088385e-05,335.25635,23.7318372242055,9.0261,TRUE
3.55529856258178e-05,103.00507,21.684433664869,0.6142,TRUE
3.62524854486493e-05,122.92357,23.8173913922987,0.686,TRUE
3.74262754096747e-05,271.15035,43.4806595689978,5.6335,TRUE
3.7512848746487e-05,207.13688,21.0569135651873,5.042,TRUE
3.80537578102382e-05,543.13044,102.481318270529,0.7488,TRUE
3.86275504751119e-05,653.42668,-28.5977147666461,8.5263,TRUE
3.88670176403873e-05,455.1145,93.9023664277339,0.7458,TRUE
3.89542250113634e-05,448.32544,20.8878062703273,7.3819,TRUE
3.94092702597367e-05,675.35363,23.2185609771588,8.522,TRUE
3.99774685750778e-05,138.05389,88.0040603244617,0.8215,TRUE
4.01545939598006e-05,373.15912,75.2237582227527,2.9485,TRUE
4.07159130691449e-05,383.08703,93.5527572345938,0.7439,TRUE
4.13162796179495e-05,265.24694,26.8761387651655,8.9942,TRUE
4.1618692736166e-05,144.07976,19.6204186671549,3.6705,TRUE
4.17980691763665e-05,233.14849,37.3161585790882,0.6259,TRUE
