"","id","mz","rt","log2FC","t.score","p.value"
"35",2781,705.33243,8.4654,6.31012762318191,-32.3857151152053,3.92230924501538e-05
"36",236,174.11146,0.7761,-8.3010331689254,30.7744321487138,4.09835444521561e-05
"37",618,233.09527,3.0274,-9.08353890358634,134.583704020571,4.31770857363583e-05
"38",3660,530.32318,9.3769,6.91764178782478,-24.7740140084245,4.3866710459108e-05
"39",575,349.13817,2.3303,5.24566422352767,-23.4664673749528,4.61279629979255e-05
"40",1630,794.01041,6.1472,-9.1154952172116,47.5450198977741,4.69079785102184e-05
"41",925,707.86601,4.4916,5.01033127826583,-19.0895860657963,4.7022791893883e-05
"42",3644,508.40768,9.3725,-1.14076311620479,18.9521200562091,5.03514346911674e-05
"43",998,508.27976,4.696,4.60105053847405,-19.0237644836667,5.26499406384056e-05
"44",602,360.12767,2.7092,-11.4003336977162,42.5060190002619,5.4934288268871e-05
"45",2353,299.2574,7.6947,-2.37505685073795,24.1658441787901,5.63938021622721e-05
"46",4086,430.32999,9.9551,-5.27301399863679,49.4769344603095,5.77847074254841e-05
"47",1883,485.24702,6.666,-2.42278987503511,18.3617406162116,5.89572939028582e-05
"48",672,384.8899,3.8396,5.59433536970394,-21.3312726736172,6.31364414709204e-05
"49",3339,907.57563,9.0815,1.2410659610253,-21.6339714268823,6.42546713034348e-05
"50",3054,402.27708,8.8078,-4.15570774627928,72.8476354384893,6.45924352593107e-05
"51",650,296.13204,3.6743,5.16705460684172,-30.5536416778463,6.50773595761016e-05
"52",1624,795.34588,6.1436,-6.49507168034684,22.2565040445747,6.80937621410513e-05
"53",2934,353.17393,8.5942,-2.33323774502599,17.407209230295,6.88606232469612e-05
"54",2170,397.25334,7.2647,-1.70412972546959,19.1747990111021,7.00095139118809e-05
"55",718,345.53697,3.9697,3.12737629085457,-17.8794590992251,7.06000395709454e-05
"56",3662,402.29722,9.3738,-6.3795719096533,66.0974032488732,7.19022585340547e-05
"57",853,476.24266,4.3232,4.27999608226944,-18.4049372861198,7.58840859302461e-05
"58",588,506.2449,2.4613,7.86127960793814,-22.604088906831,7.76153100243232e-05
"59",231,260.05192,0.7708,2.81430112975098,-25.7372541184032,7.81284211455119e-05
"60",3323,346.2703,9.0677,-1.5287055118553,16.6118686173505,7.91015925904802e-05
"61",4311,536.36932,10.4531,4.49749247937083,-17.1356161732154,7.95392905215851e-05
"62",438,360.12756,1.4191,-7.66496049982964,16.8081313247283,8.0447389505684e-05
"63",3255,368.30811,8.9856,-7.42156536251724,53.5504848493965,8.23989111765812e-05
"64",3283,448.28053,9.0352,-1.51628009738161,23.8626197016691,8.62570666312862e-05
"65",3198,994.61903,8.9515,7.90223148801526,-27.8140862331409,8.86043949024755e-05
"66",3128,515.31711,8.8534,-3.25081357686684,21.4484622099599,9.00301979740933e-05
"67",2837,321.2392,8.5388,-2.19065249360958,17.5102033501531,9.18693680870033e-05
"68",1709,364.24677,6.3149,-2.92278856586617,26.8991109732001,9.18820581094729e-05
"69",1320,249.14502,5.3842,-1.60771825053757,20.7734222988605,9.7449859511307e-05
"70",2807,615.44602,8.5111,-2.35294476774845,34.6563335679266,0.000101476560521997
"71",3104,321.23843,8.844,-4.43937243144231,47.1383144996068,0.000102768129952838
"72",3966,497.25319,9.7584,3.09487984069885,-15.6409926920807,0.000104341295064969
"73",415,293.08192,1.3828,3.38374561431181,-21.0997891288754,0.000111860277382441
"74",3669,424.28069,9.3843,-8.56851137060874,55.8237911624775,0.000112116884252927
"75",3051,325.25279,8.7973,-1.95134534253676,33.4843180195348,0.000116693387764794
"76",665,203.05479,3.7528,-7.56654381981155,46.3520380362155,0.000122535058244587
"77",858,642.33656,4.3352,7.37944883869763,-29.8603741556399,0.000127311920421146
"78",3103,299.25679,8.844,-4.51427969699788,39.6216323897177,0.000127353061570556
"79",2856,641.47084,8.547,-7.22949118923957,18.5997372861635,0.00012850474023929
"80",2658,409.27225,8.2404,-5.79972509550795,22.1507126145696,0.000128596365330279
"81",4326,432.34577,10.4878,-8.22466627760365,15.5235939045802,0.000131868326514853
"82",1025,838.64276,4.736,-5.73576451562773,50.9583144914931,0.000133279416103847
"83",884,481.74284,4.3884,2.24427329572969,-14.4424141310898,0.000133831440180932
"84",681,586.30523,3.8524,6.0319226710207,-33.2070109348491,0.00013457758339508
"85",1572,453.17153,6.0195,2.45145755723899,-16.3317581920228,0.000136402234631843
"86",2843,183.13675,8.5406,-7.00937119948546,20.3652363681117,0.000137352556240177
"87",3197,1055.64529,8.9562,3.60232342639992,-25.9282618919532,0.000143553620054117
"88",1621,799.67232,6.14,-8.14706464907098,40.9906713669326,0.000147760939354004
"89",421,558.15841,1.4067,5.61586648818849,-21.5750804632217,0.000150530737593206
"90",2352,317.26774,7.6935,-2.49804473855182,18.1872933355347,0.000153370821978206
"91",2707,699.35407,8.3503,2.09452916303998,-14.1547140014126,0.000155362864107545
"92",187,878.57244,0.7106,-1.60913134248813,24.7667505496188,0.000155533330565104
"93",2567,418.30485,8.0682,-3.06827658274355,28.9764208588621,0.000162134522348072
"94",2351,339.24947,7.6929,-2.18871009156629,16.9157197012145,0.000164934093919154
"95",3319,1134.68789,9.0649,6.09245077897684,-30.6539961142704,0.000167620644399016
"96",4120,267.26658,10.0102,-1.00182423113522,13.6362787206071,0.00016768309737687
"97",589,369.11398,2.4689,4.54430814235248,-20.9967372011585,0.000173823058837473
"98",584,174.10158,2.4212,-9.32746820634423,30.5008505551384,0.00017398894821006
"99",762,324.18769,4.1021,4.96840456228989,-29.8017495634674,0.000181457136795456
"100",733,379.87112,4.0451,3.1872160510642,-13.525324835916,0.00018285663411839
