id,mz,rt,log2FC,t.score,p.value
2370,381.2598,7.717,-2.261196775788413,10.720578237699753,0.0006223640590941584
429,203.1378,1.4305,5.150813519554017,-9.754263156822676,0.000627817836573397
310,205.06724,0.947,4.183183146785911,-16.424076383665287,0.000629078350408922
4228,597.30156,10.2116,5.151479252690265,-14.7000567221736,0.0006292272587046389
4280,359.3116,10.3517,-1.6505768139070511,9.823803332599816,0.0006377769567971471
1053,686.33249,4.7904,4.637653939503918,-17.18809953181684,0.0006410038250076529
1491,771.23385,5.7934,3.7245564382829652,-14.660854020356487,0.0006453145047475329
4371,601.49961,10.5579,-7.61709069878176,10.975922346130687,0.0006481546690984496
553,409.07752,2.2436,-9.628388357967527,38.47308536700083,0.0006693653995020688
1150,204.06204,5.0194,-1.6157510828151924,12.529912774143298,0.000670157826544302
783,589.25718,4.1737,4.659964507094462,-30.79511508321172,0.0006790543336846643
2166,460.32528,7.2521,-1.0970802492463196,11.263668196755628,0.000679087911980623
3101,281.24623,8.8446,-4.723962806787497,24.35652606068574,0.0006808623379281543
1132,137.10637,4.9811,-9.586110896759545,36.0671318761203,0.0006938967426960134
2354,281.24593,7.6935,-3.7615637056688414,30.275307305053246,0.0006979234778142961
2421,203.10561,7.7864,-0.9058717476619105,14.265437284423504,0.0007027033654491021
2774,355.28151,8.4938,1.2330894365464484,-10.250467009860103,0.0007041074043287254
3982,991.6693,9.7661,9.683093027272754,-25.239974808872322,0.0007054567092960615
997,366.2003,4.6974,2.2740823063398463,-11.937058252742185,0.0007104938185882524
4029,359.31428,9.8582,-1.2345058842556895,21.39663911233664,0.0007117138065153168
1506,773.34796,5.8479,-10.604285759138527,36.023402010404176,0.0007120124029273823
3047,418.29356,8.7828,-9.351670717191704,28.988424771102306,0.0007131607751402874
341,213.12236,1.0247,-4.079614532574449,31.796276702792063,0.0007152805130056457
1603,417.16144,6.1072,-8.829779434034387,36.860985752364066,0.0007164841884428803
1148,136.07471,5.0179,-1.830619821880557,31.90330875917563,0.0007174682840321826
2400,423.27071,7.781,-4.039846688696917,18.65622507204002,0.0007224332750322785
457,696.29127,1.5248,-7.550881378803533,9.811259578379914,0.0007254570040941243
701,427.19885,3.9174,2.4026013095324315,-12.061858262401154,0.0007317596960299336
3065,339.21837,8.8066,-1.6489581043938424,11.662988593158714,0.0007409119017214909
3296,507.26998,9.0484,-1.0799475781452923,9.444644246292425,0.0007473082415859369
2160,395.2391,7.2461,-1.0030504483353138,10.200520327756063,0.000748579601521305
