mappingFeatureId,inchikey,inchi,smiles,clean_smiles,annotation_source,mz,rt,compound_name
1078,SLOQSNHEHSCLGS,"InChI=1S/C15H20N2O6/c1-7-3-9-10(4-8(7)2)17(15(23)14(22)16-9)5-11(19)13(21)12(20)6-18/h3-4,11-13,18-21H,5-6H2,1-2H3,(H,16,22)",Cc1cc2[nH]c(=O)c(=O)n(CC(O)C(O)C(O)CO)c2cc1C,Cc1cc2[nH]c(=O)c(=O)n(CC(O)C(O)C(O)CO)c2cc1C,sirius:suspect,325.13734131141456,4.8524723,"6,7-dimethyl-1-(2,3,4,5-tetrahydroxypentyl)-1,2,3,4-tetrahydroquinoxaline-2,3-dione"
1088,XGILAAMKEQUXLS,"InChI=1S/C11H11NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,10,12-13H,5H2,(H,14,15)",O=C(O)C(O)Cc1c[nH]c2ccccc12,O=C(O)C(O)Cc1c[nH]c2ccccc12,gnps:sirius,206.0800436950745,4.872561,Indole-3-lactic_acid_30EV
1088,XGILAAMKEQUXLS,"InChI=1S/C11H11NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,10,12-13H,5H2,(H,14,15)",O=C(O)C(O)Cc1c[nH]c2ccccc12,O=C(O)C(O)Cc1c[nH]c2ccccc12,gnps:sirius,206.0800436950745,4.872561,Indolelactate
1100,YLRXAIKMLINXQY,"InChI=1S/C20H23NO4/c1-21(2)8-7-12-10-15(25-4)20(23)18-16(12)13(21)9-11-5-6-14(24-3)19(22)17(11)18/h5-6,10,13H,7-9H2,1-4H3,(H-,22,23)/p+1",COc1ccc2c(c1O)-c1c(O)c(OC)cc3c1C(C2)[N+](C)(C)CC3,COc1ccc2c(c1O)-c1c(O)c(OC)cc3c1C(C2)[N+](C)(C)CC3,gnps,343.171799688597,4.8904967,Magnoflorine
1097,YLRXAIKMLINXQY,"InChI=1S/C20H23NO4/c1-21(2)8-7-12-10-15(25-4)20(23)18-16(12)13(21)9-11-5-6-14(24-3)19(22)17(11)18/h5-6,10,13H,7-9H2,1-4H3,(H-,22,23)/p+1",COc1ccc2c(c1O)-c1c(O)c(OC)cc3c1C(C2)[N+](C)(C)CC3,COc1ccc2c(c1O)-c1c(O)c(OC)cc3c1C(C2)[N+](C)(C)CC3,gnps:sirius,342.16852643932265,4.891636,Magnoflorine
1099,AUNGANRZJHBGPY,"InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)",Cc1cc2nc3c(O)nc(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,sirius,377.1438735468985,4.8908553,Vitamin G
1097,ZFLRVRLYWHNAEC,"InChI=1S/C20H23NO4/c1-21-6-5-11-9-17(24-3)20(25-4)19-13-10-16(23-2)15(22)8-12(13)7-14(21)18(11)19/h8-10,14,22H,5-7H2,1-4H3",COc1cc2c(cc1O)CC1c3c(cc(OC)c(OC)c3-2)CCN1C,COc1cc2c(cc1O)CC1c3c(cc(OC)c(OC)c3-2)CCN1C,gnps:sirius,342.16852643932265,4.891636,Lauroscholtzine
1141,QWWPYKKLXWOITQ,"InChI=1S/C16H31N3O5/c1-8(2)6-11(17)14(21)19-13(10(5)20)15(22)18-12(16(23)24)7-9(3)4/h8-13,20H,6-7,17H2,1-5H3,(H,18,22)(H,19,21)(H,23,24)",CC(C)CC(N)C(O)=NC(C(O)=NC(CC(C)C)C(=O)O)C(C)O,CC(C)CC(N)C(=O)NC(C(=O)NC(CC(C)C)C(=O)O)C(C)O,sirius,346.23211227074535,4.994564,2-[[2-[(2-Amino-4-methylpentanoyl)amino]-3-hydroxybutanoyl]amino]-4-methylpentanoic acid
1140,GKZIWHRNKRBEOH,"InChI=1S/C18H20N2O3/c19-15(11-13-7-3-1-4-8-13)17(21)20-16(18(22)23)12-14-9-5-2-6-10-14/h1-10,15-16H,11-12,19H2,(H,20,21)(H,22,23)",NC(Cc1ccccc1)C(O)=NC(Cc1ccccc1)C(=O)O,NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,sirius,313.153391020309,4.995672,Phe-Phe
1143,CBQJSKKFNMDLON,"InChI=1S/C11H13NO3/c1-8(13)12-10(11(14)15)7-9-5-3-2-4-6-9/h2-6,10H,7H2,1H3,(H,12,13)(H,14,15)",CC(O)=NC(Cc1ccccc1)C(=O)O,CC(=O)NC(Cc1ccccc1)C(=O)O,sirius,208.0957260652509,4.999411,Afalanine
