mappingFeatureId,inchikey,inchi,smiles,clean_smiles,annotation_source,mz,rt,compound_name
2039,WECGLUPZRHILCT,"InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3",CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)CO,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)CO,sirius:suspect,355.28242868716234,8.719025,1-Monolinolein
2218,WECGLUPZRHILCT,"InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3",CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)CO,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)CO,suspect,355.2807273112806,8.959917,1-Monolinolein
2397,WECGLUPZRHILCT,"InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3",CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)CO,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)CO,sirius:suspect,355.2824330710812,9.172672,1-Monolinolein
2099,GWLJUAYGDYEJLV,"InChI=1S/C18H36O3/c1-16(2)13-11-9-7-5-3-4-6-8-10-12-14-17(19)15-18(20)21/h16-17,19H,3-15H2,1-2H3,(H,20,21)",CC(C)CCCCCCCCCCCCC(O)CC(=O)O,CC(C)CCCCCCCCCCCCC(O)CC(=O)O,suspect,283.26215853844445,8.806186,"Heptadecanoic acid, 3-hydroxy-16-methyl-"
2137,RCPLMGVSRXKXBZ,"InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h3-4,9-10,20,22-23H,2,5-8,11-19H2,1H3",CCC=CCCCCC=CCCCCCCCC(=O)OCC(O)CO,CCC=CCCCCC=CCCCCCCCC(=O)OCC(O)CO,sirius,355.281981892998,8.84849,BT_env_step1_RCPLMGVSRXKXBZ
2169,MJOKHGMXPJXFTG,"InChI=1S/C21H40O4/c1-3-5-7-14-18-24-20(22)16-12-10-9-11-13-17-21(23)25-19-15-8-6-4-2/h3-19H2,1-2H3",CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,suspect,357.29837380253645,8.891225,Dihexyl azelate
2191,GGJRAQULURVTAJ,"InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3",CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)CO,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)CO,suspect,353.2671615528618,8.921989,"2,3-dihydroxypropyl octadeca-9,12,15-trienoate"
2269,GGJRAQULURVTAJ,"InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3",CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)CO,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)CO,suspect,353.26719931561024,9.0241785,"2,3-dihydroxypropyl octadeca-9,12,15-trienoate"
2176,GMHIDDPMECYTQN,"InChI=1S/C30H48O16/c1-11(31)42-10-23-25(39)26(40)28(46-29(41)13-5-19(36)24(38)20(37)6-13)30(45-23)44-22-9-15-17(34)7-14(32)8-21(15)43-27(22)12-2-3-16(33)18(35)4-12/h12-28,30,32-40H,2-10H2,1H3",CC(=O)OCC1OC(OC2CC3C(O)CC(O)CC3OC2C2CCC(O)C(O)C2)C(OC(=O)C2CC(O)C(O)C(O)C2)C(O)C1O,CC(=O)OCC1OC(OC2CC3C(O)CC(O)CC3OC2C2CCC(O)C(O)C2)C(OC(=O)C2CC(O)C(O)C(O)C2)C(O)C1O,sirius,703.253194784681,8.942475,"[6-(acetyloxymethyl)-2-[[2-(3,4-dihydroxycyclohexyl)-5,7-dihydroxy-3,4,4a,5,6,7,8,8a-octahydro-2H-chromen-1-ium-3-yl]oxy]-4,5-dihydroxyoxan-3-yl] 3,4,5-trihydroxycyclohexane-1-carboxylate"
2210,XRLCEWWZNPSDGB,"InChI=1S/C21H41O12P/c1-2-3-4-5-6-7-8-9-10-11-15(23)31-12-14(22)13-32-34(29,30)33-21-19(27)17(25)16(24)18(26)20(21)28/h14,16-22,24-28H,2-13H2,1H3,(H,29,30)",CCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,CCCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,sirius,539.2215353510124,8.953177,1-Dodecanoyl-glycero-3-phospho-(1'-myo-inositol)
