p.value,m.z,t.score,r.t,pos_inx
0.000828849248054557,199.09303,34.5415772699985,4.2032,TRUE
0.000846042522055898,323.25434,22.1005520313789,8.8066,TRUE
0.000867132203934864,379.20622,-9.52889238724537,1.3771,TRUE
0.000874208970680335,515.82343,14.1918980675246,0.7281,TRUE
0.000884255938085481,229.21521,9.5952577291375,10.663,TRUE
0.000885172071134923,299.29315,8.88946096969922,10.0135,TRUE
0.000887440718529551,589.20823,-13.8807356693071,5.0844,TRUE
0.000891358723826622,311.25664,13.2783485619486,8.5872,TRUE
0.000894616544802971,305.13454,30.9671488396102,4.773,TRUE
0.000900398771326257,141.08767,31.4471828824548,3.7754,TRUE
0.000901167152838796,472.23382,-12.9237811326877,4.7179,TRUE
0.000902335217230552,333.888,9.98097971199767,0.7299,TRUE
0.000906438823944065,778.34588,28.3141402502458,5.9113,TRUE
0.000907097875482996,380.20548,-15.4294154295965,4.0466,TRUE
0.000919015390394012,217.10568,27.7585057961326,2.0239,TRUE
0.000927341238632442,241.14227,-9.31373693462188,4.2417,TRUE
0.000934279030681897,553.29662,-12.2668621356115,7.878,TRUE
0.000946094273552017,308.29333,11.0175225315019,9.6463,TRUE
0.000952540674000425,283.26194,28.2337492648215,8.8066,TRUE
0.000954817840988488,373.26788,11.5394691447051,9.7411,TRUE
0.000983750881792296,318.07468,24.8479060243972,4.4006,TRUE
0.000983810971941529,411.20008,-9.9885443411895,5.3174,TRUE
0.00098823615615974,176.1271,31.4864678565606,3.1379,TRUE
0.000996263943891467,411.1981,-9.26601601067157,5.2142,TRUE
0.000999437595024427,160.0958,29.5840382436757,2.9114,TRUE
0.00100153388636755,515.39489,11.8817973895896,9.3711,TRUE
0.00100307861231451,267.11895,14.3815036502726,5.7912,TRUE
0.00100540657434412,311.31159,9.01946185301094,9.3274,TRUE
0.00101747389906523,213.18388,31.1213502435988,8.8117,TRUE
0.001027130780883,338.49573,12.1797552303821,10.9008,TRUE
0.00103083648465625,185.14496,9.3541391743586,8.5231,TRUE
0.00104113000862463,528.75048,-16.0895260787256,4.4665,TRUE
0.00104212992463435,448.27837,8.54020902264455,9.757,TRUE
0.00104463756266961,153.13757,13.7870725182527,3.6889,TRUE
0.00105984910564781,338.41629,10.2504093449072,10.8862,TRUE
0.00106134429904847,571.37945,24.269789206891,4.3823,TRUE
0.00106735823952143,261.14322,-11.657420458097,2.9591,TRUE
0.00106789203934746,861.40643,-10.379348977171,8.3166,TRUE
0.00107053942295948,225.11099,25.927059936674,5.6042,TRUE
0.00107470780857576,381.29611,22.4419990143436,9.8556,TRUE
0.00107900662915597,385.1939,-8.8683616207994,4.0503,TRUE
0.00107991377412473,307.26189,16.1586477464864,10.554,TRUE
0.00108570421255984,343.26801,15.1832546417987,9.7738,TRUE
0.00108926649388056,539.31329,10.7569701360084,8.7223,TRUE
0.00110063026842147,546.27372,29.1676392130842,1.0983,TRUE
0.00111545008412123,479.29684,9.32279331060588,10.4108,TRUE
0.00111733100488725,515.31724,8.40707266476677,8.9733,TRUE
0.00113234380872883,701.3691,-8.74530289795067,8.6194,TRUE
0.00113276530960642,522.26814,-16.4113219302243,4.3482,TRUE
0.0011371201086327,318.27547,12.2268754946943,9.7157,TRUE
0.00115036702417254,354.27056,-8.73993291839044,8.4678,TRUE
0.001161964550379,427.20601,10.1093957579922,2.2146,TRUE
0.00116300245904257,691.59313,-15.7474854507631,4.9295,TRUE
0.00116994338476291,559.30603,-15.943690670026,4.4299,TRUE
0.00118967829873431,499.32477,-9.33358206133179,8.7267,TRUE
0.00119128573606216,512.23929,26.0514091937019,8.3646,TRUE
0.00119407156746549,671.47448,10.1536584390753,9.8404,TRUE
0.00119583666698421,371.22319,8.22956488610173,10.5361,TRUE
0.00120026787625267,384.30933,11.89221842285,7.8095,TRUE
0.00120343929515134,281.24686,17.5417498841407,8.5357,TRUE
0.00120939532160782,373.22278,8.65342553676786,10.5404,TRUE
0.0012243353248753,653.42695,24.3308040286837,8.5344,TRUE
0.0012307262733877,619.28323,-8.27813924823625,10.2213,TRUE
0.00123647160514433,250.07638,27.9987123550432,2.2481,TRUE
0.00123898827005706,599.11408,8.79108311149971,8.7774,TRUE
0.00123988926733062,524.19586,-10.0401102302991,0.9581,TRUE
0.00124051165648793,322.67643,-11.5710168937762,1.4147,TRUE
0.00124530552364446,558.4882,8.19780252069966,10.3523,TRUE
0.00125098067022802,438.26508,10.1255324669514,10.8861,TRUE
0.00125150109802447,199.05664,27.8036222588505,3.3756,TRUE
0.00125495647833494,459.25476,-16.8971311931912,1.4445,TRUE
0.00125505632159294,792.01566,23.5761911200678,6.1341,TRUE
0.00126308921597757,348.28773,10.7595558771499,9.3476,TRUE
0.00126902614531697,244.09565,8.19674709302482,6.2482,TRUE
0.00127223896428588,524.38172,10.5927317156783,9.3745,TRUE
0.00128319929856612,627.39108,8.71722362575704,8.4881,TRUE
0.00128362071067443,373.19464,8.3257599313233,6.6142,TRUE
0.0012882633446923,438.31975,13.7973710951447,8.2164,TRUE
0.0012957845029951,536.69678,13.0663142042133,0.6959,TRUE
0.00129638406412301,279.2306,8.41133043887244,8.5936,TRUE
0.00130678083936653,371.2778,-10.332252657899,7.5644,TRUE
0.00130949866432756,686.98763,-13.2255930926546,4.2624,TRUE
0.001325046613294,434.71067,-15.1562971689031,3.8521,TRUE
0.00132975713972392,398.16084,-18.4063722170044,1.4059,TRUE
0.00134233646263754,773.01409,27.011980392571,5.8504,TRUE
0.00134837431600417,190.10637,26.9466243961587,1.6244,TRUE
0.00136710808719893,778.67955,21.3470870729228,5.9202,TRUE
0.00136844676532741,534.29381,-22.1603071645314,9.7532,TRUE
0.00136972007374814,335.21813,12.0674241358378,7.4619,TRUE
0.00138207618731113,189.01505,-10.273562091038,0.76,TRUE
0.00139642063568723,436.20549,-10.3856821566945,5.3268,TRUE
0.00139784016373864,621.48973,18.7193545761395,8.8369,TRUE
0.00140043952175745,251.12462,15.0541286907808,6.2427,TRUE
0.0014013842006029,262.04854,26.6232281719904,3.0084,TRUE
